Log,Total Time,Cut Detection,Fallthrough Detection,Tau Detection,Log Splitting,Interaction Properties
01_ocel_standard_container_logistics.json,8.44865345954895,2.8643085956573486,0.0970807075500488,0.197685956954956,2.018059015274048,2.3033463954925537
02_ocel_standard_order_management.json,43.72949981689453,9.992606163024902,0.0639009475708007,0.1808373928070068,24.978214979171756,5.299839496612549
03_ocel_standard_p2p.json,37.38945317268372,0.1797194480895996,0.0118005275726318,0.0454697608947753,33.01817560195923,1.116382360458374
04_ocel_lrms_o2c.xml,93.68024563789368,20.59778618812561,0.1304895877838134,0.1126787662506103,67.89426279067993,2.2216427326202397
05_ocel_lrms_p2p.xml,197.7902042865753,19.28628969192505,0.0734040737152099,0.1134836673736572,174.25639748573303,0.6461420059204102
06_ocel_lrms_hr.xml,9.691254615783691,6.53036642074585,0.0956113338470459,0.0570790767669677,1.2480342388153076,1.4703552722930908
07_ocel_lrms_hospital.xml,1.4655499458312988,0.0018649101257324,0.0,0.0374791622161865,0.2178459167480468,0.9504356384277344
08_ocel_standard_production.xml,37.72161650657654,27.854045391082764,0.095670461654663,0.2627847194671631,4.649078130722046,3.777860641479492
09_ocel_legacy_recruiting.jsonocel,4.01067042350769,1.7104692459106443,0.0646793842315673,0.0404391288757324,1.39082670211792,0.6043381690979004
10_ocel_legacy_transfer_order.jsonocel,1.3121092319488523,0.0365524291992187,0.0368528366088867,0.0127093791961669,0.4748437404632568,0.5672280788421631
11_ocel_legacy_running_example.jsonocel,65.55238270759583,12.111969232559204,0.04147934913635254,0.08998417854309082,44.708796977996826,2.850165367126465
12_ocel_legacy_github_pm4py.jsonocel,11.64227557182312,5.6679723262786865,0.22816228866577148,0.044466495513916016,4.903646230697632,0.4044513702392578
