Log,Fitness,Precision
01_ocel_standard_container_logistics.json,0.8837225274725274,0.7431418779633064
02_ocel_standard_order_management.json,1.0,0.6370982552800734
03_ocel_standard_p2p.json,0.9666666666666668,0.7396230158730159
04_ocel_lrms_o2c.xml,1.0,0.358815092674316
05_ocel_lrms_p2p.xml,0.9534883720930232,0.5996345029239767
06_ocel_lrms_hr.xml,0.887330623306233,0.6820436507936509
07_ocel_lrms_hospital.xml,0.9787037037037036,0.8555555555555556
08_ocel_standard_production.xml,0.9656565656565655,0.5446789321789322
09_ocel_legacy_recruiting.jsonocel,0.9523718341503268,0.6173161080074487
10_ocel_legacy_transfer_order.jsonocel,0.238095238095238,0.96
11_ocel_legacy_running_example.jsonocel,1.0,0.6650596877869605
12_ocel_legacy_github_pm4py.jsonocel,0.8847222222222222,0.43841580695925864
