Log,Total Time,Cut Detection,Fallthrough Detection,Tau Detection,Log Splitting,Interaction Properties
01_ocel_standard_container_logistics.json,6.545418977737427,1.9443259239196777,0.06039023399353027,0.10708069801330566,1.0221972465515137,2.126310348510742
02_ocel_standard_order_management.json,28.353394269943237,7.806620836257935,0.04832744598388672,0.13911867141723633,14.477061986923218,2.170596122741699
03_ocel_standard_p2p.json,23.56985878944397,0.1751117706298828,0.006268501281738281,0.05927562713623047,19.260434865951538,1.1101007461547852
04_ocel_lrms_o2c.xml,38.01465654373169,14.737685203552246,0.11241674423217773,0.1376347541809082,17.790230751037598,2.2218167781829834
05_ocel_lrms_p2p.xml,11.355817556381226,1.3142383098602295,0.0882880687713623,0.0403902530670166,7.988228797912598,0.618720293045044
06_ocel_lrms_hr.xml,9.228824615478516,6.190184831619263,0.07488536834716797,0.062152862548828125,1.0162274837493896,1.2251513004302979
07_ocel_lrms_hospital.xml,1.6166319847106934,0.0017375946044921875,0.0,0.03459668159484863,0.15162873268127441,0.9027857780456543
08_ocel_standard_hinge.xml,36.06835746765137,25.573222637176514,0.08171415328979492,0.28537440299987793,4.1401331424713135,3.809314727783203
20_ocel_legacy_github_pm4py.jsonocel,4.955625295639038,2.530052423477173,0.13983416557312012,0.0273592472076416,1.9370789527893066,0.14351534843444824
21_ocel_legacy_o2c.jsonocel,557.1458425521851,381.93895959854126,0.10654950141906738,1.029611587524414,138.17451167106628,12.49775218963623
22_ocel_legacy_p2p.jsonocel,343.0082323551178,328.95661520957947,0.28450965881347656,0.5960168838500977,7.146155595779419,3.13918137550354
23_ocel_legacy_recruiting.jsonocel,4.179238796234131,1.9297842979431152,0.05170917510986328,0.04791760444641113,1.0895791053771973,0.6230802536010742
24_ocel_legacy_running-example.jsonocel,41.38324475288391,13.63053846359253,0.007383823394775391,0.10930943489074707,18.439417839050293,3.7137324810028076
25_ocel_legacy_transfer_order.jsonocel,1.6030213832855225,0.04553031921386719,0.024787425994873047,0.015385627746582031,0.551109790802002,0.6582376956939697
