,Log,Total Time,Cut Detection,Fallthrough Detection,Tau Detection,Log Splitting,Interaction Properties
0,01_ocel_standard_container_logistics.json,6.376913785934448,1.7653660774230957,0.06258082389831543,0.1217966079711914,1.093337059020996,2.0382068157196045
1,02_ocel_standard_order_management.json,28.0456600189209,6.8303797245025635,0.05664777755737305,0.12839698791503906,14.701505899429321,2.0927414894104004
2,03_ocel_standard_p2p.json,241.3283452987671,34.96076941490173,0.010700464248657227,0.6538352966308594,183.96899437904358,1.8780879974365234
3,04_ocel_lrms_o2c.xml,36.71711254119873,14.165836572647095,0.13478493690490723,0.10903453826904297,17.142831325531006,2.16017484664917
4,05_ocel_lrms_p2p.xml,44.25882124900818,5.135795831680298,0.054570913314819336,0.07427859306335449,35.06050658226013,0.6000323295593262
5,06_ocel_lrms_hr.xml,8.810110807418823,5.925908803939819,0.0892324447631836,0.05553770065307617,0.9503271579742432,1.1568348407745361
6,07_ocel_lrms_hospital.xml,1.5652363300323486,0.0017342567443847656,0.0,0.029938220977783203,0.14847087860107422,0.8741617202758789
7,08_ocel_standard_hinge.xml,47.34450149536133,37.35513615608215,0.10796999931335449,0.28633761405944824,3.905999183654785,3.569173574447632
8,20_ocel_legacy_github_pm4py.jsonocel,5.912192344665527,3.4527034759521484,0.18805360794067383,0.029494524002075195,1.9071874618530273,0.14332318305969238
9,21_ocel_legacy_o2c.jsonocel,542.1263375282288,368.6712279319763,0.17796778678894043,0.8400084972381592,137.7591516971588,11.489882946014404
10,22_ocel_legacy_p2p.jsonocel,313.1006820201874,300.43109226226807,0.279818058013916,0.4705169200897217,5.990320205688477,3.0891919136047363
11,23_ocel_legacy_recruiting.jsonocel,4.6236913204193115,2.4620201587677,0.05829262733459473,0.04380369186401367,1.1223170757293701,0.5728964805603027
12,24_ocel_legacy_running-example.jsonocel,35.21885132789612,10.797194719314575,0.009322643280029297,0.0763554573059082,17.203341960906982,2.5525448322296143
13,25_ocel_legacy_transfer_order.jsonocel,1.3321177959442139,0.03842020034790039,0.041403770446777344,0.012482166290283203,0.4670693874359131,0.5268099308013916
